hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
오륜동,11710566,11710,127.12883899753022,37.51742613125331,송파구
오금동,11710570,11710,127.134018326619,37.50400442081414,송파구
송파1동,11710580,11710,127.11036340656342,37.50718240617835,송파구
논현1동,11680521,11680,127.02650109404792,37.51187116329984,강남구
논현2동,11680531,11680,127.03620734636496,37.51523834181583,강남구
압구정동,11680545,11680,127.03431370176712,37.52975405970077,강남구
청담동,11680565,11680,127.05046570173896,37.524396311018045,강남구
삼성1동,11680580,11680,127.06079807607485,37.51530032427762,강남구
삼성2동,11680590,11680,127.04877195494672,37.51185505709333,강남구
대치1동,11680600,11680,127.05909540225716,37.49336170843875,강남구
대치2동,11680610,11680,127.06566069711208,37.50098976619122,강남구
풍납2동,11710520,11710,127.10816850458949,37.530169019198894,송파구
거여1동,11710531,11710,127.14186096238517,37.49475094645482,송파구
거여2동,11710532,11710,127.14830141427724,37.492121108727815,송파구
마천1동,11710540,11710,127.15600865243684,37.49531876462369,송파구
마천2동,11710550,11710,127.1506477111596,37.50053353499824,송파구
